timestamp,equipment_id,fault_code,description,severity,action_taken,downtime_hours,technician
2024-03-07T17:34:00,LF-002,LF-F003,Porous plug blockage,medium,Applied temporary fix; permanent repair scheduled,64.2,Tech-971
2024-03-08T10:06:00,LF-002,LF-F003,Porous plug blockage,medium,Replaced cooling element,49.0,Tech-390
2024-03-10T00:16:00,BF-002,BF-F001,Tuyere burnout,critical,Cleaned and flushed system,3.3,Tech-161
2024-03-11T20:02:00,BOF-002,BOF-F006,Hood duct damage,low,Applied weld overlay repair,2.7,Tech-353
2024-03-13T16:56:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Replaced damaged component,71.1,Tech-424
2024-03-15T06:51:00,BF-001,BF-F007,Dust catcher overflow,low,Applied weld overlay repair,42.5,Tech-787
2024-03-17T21:59:00,RM-001,RM-F001,Main motor bearing failure,critical,Applied temporary fix; permanent repair scheduled,64.8,Tech-677
2024-03-18T05:49:00,LF-001,LF-F002,Ladle refractory failure,critical,Replaced filter cartridge,35.8,Tech-872
2024-03-20T09:54:00,BOF-001,BOF-F002,Lance tip erosion,high,Applied weld overlay repair,7.7,Tech-889
2024-03-20T18:23:00,RM-002,RM-F003,Roll surface spalling,high,Performed emergency repair,36.4,Tech-153
2024-03-23T04:09:00,RM-002,RM-F003,Roll surface spalling,high,Cleaned and flushed system,27.9,Tech-256
2024-03-23T10:54:00,LF-001,LF-F004,Roof water leak,critical,Replaced filter cartridge,61.9,Tech-489
2024-03-23T20:54:00,RM-001,RM-F006,AGC calibration drift,low,Replaced filter cartridge,54.8,Tech-195
2024-03-24T13:42:00,BF-001,BF-F005,Gas leak at top seal,medium,Tightened connections and re-sealed,40.9,Tech-423
2024-03-24T15:01:00,RM-001,RM-F007,Coolant nozzle blockage,low,Realigned coupling assembly,39.1,Tech-458
2024-03-25T23:27:00,RM-001,RM-F007,Coolant nozzle blockage,low,Performed emergency repair,31.3,Tech-942
2024-03-27T09:32:00,BOF-001,BOF-F006,Hood duct damage,low,Replaced filter cartridge,45.8,Tech-443
2024-03-27T21:08:00,LF-001,LF-F005,Hydraulic roof lift failure,medium,Replaced bearing assembly,8.9,Tech-412
2024-03-28T03:49:00,RM-002,RM-F006,AGC calibration drift,low,Cleaned and flushed system,47.5,Tech-463
2024-03-28T19:18:00,LF-002,LF-F004,Roof water leak,critical,Applied weld overlay repair,18.1,Tech-175
2024-03-29T02:19:00,CC-002,CC-F002,Mold sticking detected,high,Recalibrated sensors,72.0,Tech-836
2024-03-29T13:07:00,BF-001,BF-F002,Cooling water leak,high,Conducted hot repair of refractory,44.3,Tech-156
2024-03-30T18:27:00,BF-002,BF-F006,Charging system malfunction,medium,Replaced damaged component,2.6,Tech-323
2024-04-03T22:06:00,RM-003,RM-F006,AGC calibration drift,low,Replaced damaged component,15.8,Tech-179
2024-04-03T23:33:00,LF-002,LF-F001,Electrode breakage,high,Cleaned and flushed system,27.4,Tech-564
2024-04-04T10:07:00,CC-001,CC-F002,Mold sticking detected,high,Replaced damaged component,67.9,Tech-151
2024-04-04T12:06:00,RM-002,RM-F001,Main motor bearing failure,critical,Replaced bearing assembly,61.1,Tech-718
2024-04-05T20:42:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Recalibrated sensors,36.9,Tech-118
2024-04-09T07:56:00,CC-001,CC-F001,Breakout event,critical,Replaced cooling element,10.2,Tech-564
2024-04-09T20:41:00,BOF-001,BOF-F006,Hood duct damage,low,Replaced damaged component,22.6,Tech-551
2024-04-11T22:07:00,LF-001,LF-F004,Roof water leak,critical,Replaced filter cartridge,47.0,Tech-887
2024-04-12T14:06:00,RM-002,RM-F007,Coolant nozzle blockage,low,Replaced cooling element,65.6,Tech-115
2024-04-14T03:20:00,RM-003,RM-F001,Main motor bearing failure,critical,Replaced bearing assembly,63.5,Tech-240
2024-04-14T22:49:00,LF-002,LF-F002,Ladle refractory failure,critical,Applied temporary fix; permanent repair scheduled,61.3,Tech-714
2024-04-20T15:45:00,RM-003,RM-F004,Hydraulic oil contamination,medium,Conducted hot repair of refractory,5.8,Tech-182
2024-04-20T21:14:00,LF-002,LF-F003,Porous plug blockage,medium,Conducted hot repair of refractory,2.3,Tech-674
2024-04-21T07:12:00,RM-002,RM-F007,Coolant nozzle blockage,low,Cleaned and flushed system,38.8,Tech-243
2024-04-21T19:47:00,RM-001,RM-F002,Gear coupling misalignment,high,Tightened connections and re-sealed,17.6,Tech-151
2024-04-21T21:51:00,RM-002,RM-F006,AGC calibration drift,low,Adjusted operating parameters,67.0,Tech-858
2024-04-25T10:10:00,RM-001,RM-F002,Gear coupling misalignment,high,Realigned coupling assembly,33.3,Tech-363
2024-04-26T16:32:00,BF-002,BF-F005,Gas leak at top seal,medium,Cleaned and flushed system,65.3,Tech-457
2024-04-27T08:36:00,CC-002,CC-F003,SEN clogging,high,Cleaned and flushed system,58.2,Tech-965
2024-04-27T14:04:00,RM-002,RM-F007,Coolant nozzle blockage,low,Adjusted operating parameters,54.4,Tech-331
2024-04-29T21:13:00,CC-002,CC-F004,Roll misalignment,medium,Realigned coupling assembly,42.2,Tech-193
2024-04-30T07:13:00,BF-002,BF-F004,Hearth erosion detected,critical,Applied weld overlay repair,53.2,Tech-805
2024-04-30T08:49:00,CC-002,CC-F004,Roll misalignment,medium,Applied temporary fix; permanent repair scheduled,50.8,Tech-319
2024-04-30T20:53:00,BF-002,BF-F004,Hearth erosion detected,critical,Adjusted operating parameters,36.1,Tech-833
2024-04-30T23:48:00,BOF-002,BOF-F002,Lance tip erosion,high,Conducted hot repair of refractory,65.9,Tech-812
2024-05-01T04:06:00,RM-001,RM-F007,Coolant nozzle blockage,low,Recalibrated sensors,27.2,Tech-447
2024-05-03T13:44:00,RM-002,RM-F007,Coolant nozzle blockage,low,Adjusted operating parameters,34.7,Tech-334
2024-05-07T11:27:00,RM-002,RM-F003,Roll surface spalling,high,Recalibrated sensors,53.6,Tech-495
2024-05-07T23:57:00,LF-001,LF-F003,Porous plug blockage,medium,Applied temporary fix; permanent repair scheduled,36.8,Tech-782
2024-05-08T18:13:00,RM-002,RM-F002,Gear coupling misalignment,high,Performed emergency repair,59.8,Tech-667
2024-05-08T20:19:00,CC-002,CC-F003,SEN clogging,high,Tightened connections and re-sealed,38.6,Tech-614
2024-05-09T20:55:00,CC-002,CC-F003,SEN clogging,high,Applied weld overlay repair,35.6,Tech-993
2024-05-09T23:49:00,BOF-001,BOF-F003,Trunnion bearing overheating,high,Applied temporary fix; permanent repair scheduled,52.9,Tech-220
2024-05-10T23:14:00,RM-003,RM-F005,Motor insulation degradation,high,Replaced damaged component,54.6,Tech-405
2024-05-14T00:22:00,LF-002,LF-F001,Electrode breakage,high,Applied weld overlay repair,56.9,Tech-702
2024-05-15T20:19:00,RM-003,RM-F002,Gear coupling misalignment,high,Adjusted operating parameters,63.0,Tech-997
2024-05-15T23:59:00,BOF-002,BOF-F005,Tap hole blockage,medium,Tightened connections and re-sealed,41.7,Tech-348
2024-05-16T20:43:00,RM-003,RM-F007,Coolant nozzle blockage,low,Adjusted operating parameters,5.4,Tech-676
2024-05-16T20:55:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Replaced bearing assembly,9.0,Tech-650
2024-05-19T09:20:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Tightened connections and re-sealed,68.2,Tech-305
2024-05-20T00:35:00,CC-001,CC-F001,Breakout event,critical,Adjusted operating parameters,29.6,Tech-999
2024-05-20T22:21:00,BF-001,BF-F001,Tuyere burnout,critical,Applied weld overlay repair,34.4,Tech-567
2024-05-21T08:03:00,BOF-002,BOF-F005,Tap hole blockage,medium,Replaced filter cartridge,34.9,Tech-480
2024-05-21T16:13:00,BF-001,BF-F006,Charging system malfunction,medium,Replaced cooling element,23.7,Tech-778
2024-05-21T16:31:00,RM-002,RM-F002,Gear coupling misalignment,high,Performed emergency repair,54.5,Tech-981
2024-05-25T11:19:00,BF-002,BF-F001,Tuyere burnout,critical,Replaced bearing assembly,33.1,Tech-311
2024-05-26T18:42:00,BF-001,BF-F002,Cooling water leak,high,Recalibrated sensors,5.5,Tech-858
2024-05-27T06:38:00,CC-002,CC-F003,SEN clogging,high,Replaced cooling element,29.2,Tech-141
2024-05-28T04:34:00,BF-001,BF-F003,Burden hanging,high,Applied temporary fix; permanent repair scheduled,57.6,Tech-212
2024-05-28T12:12:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Tightened connections and re-sealed,36.8,Tech-239
2024-05-29T04:02:00,RM-002,RM-F007,Coolant nozzle blockage,low,Applied temporary fix; permanent repair scheduled,66.1,Tech-583
2024-05-30T13:05:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Cleaned and flushed system,58.9,Tech-457
2024-05-31T02:08:00,RM-002,RM-F005,Motor insulation degradation,high,Applied temporary fix; permanent repair scheduled,45.1,Tech-699
2024-05-31T02:45:00,BOF-002,BOF-F003,Trunnion bearing overheating,high,Cleaned and flushed system,69.7,Tech-505
2024-05-31T07:06:00,RM-002,RM-F006,AGC calibration drift,low,Adjusted operating parameters,18.8,Tech-277
2024-06-01T17:02:00,BF-002,BF-F006,Charging system malfunction,medium,Replaced bearing assembly,42.1,Tech-251
2024-06-02T10:05:00,RM-001,RM-F006,AGC calibration drift,low,Tightened connections and re-sealed,47.9,Tech-458
2024-06-02T17:46:00,RM-001,RM-F002,Gear coupling misalignment,high,Tightened connections and re-sealed,38.2,Tech-213
2024-06-03T00:13:00,BF-002,BF-F006,Charging system malfunction,medium,Replaced cooling element,33.1,Tech-161
2024-06-03T11:01:00,LF-001,LF-F005,Hydraulic roof lift failure,medium,Conducted hot repair of refractory,8.0,Tech-525
2024-06-04T04:51:00,LF-001,LF-F001,Electrode breakage,high,Tightened connections and re-sealed,68.4,Tech-187
2024-06-04T15:02:00,RM-003,RM-F006,AGC calibration drift,low,Adjusted operating parameters,36.4,Tech-704
2024-06-05T07:08:00,BOF-002,BOF-F001,Refractory hot spot,critical,Conducted hot repair of refractory,48.4,Tech-677
2024-06-05T08:05:00,RM-003,RM-F001,Main motor bearing failure,critical,Applied temporary fix; permanent repair scheduled,6.2,Tech-308
2024-06-05T09:10:00,BF-002,BF-F005,Gas leak at top seal,medium,Adjusted operating parameters,23.6,Tech-826
2024-06-05T21:59:00,RM-001,RM-F003,Roll surface spalling,high,Conducted hot repair of refractory,5.3,Tech-951
2024-06-06T05:42:00,LF-002,LF-F002,Ladle refractory failure,critical,Tightened connections and re-sealed,52.0,Tech-719
2024-06-06T12:45:00,BF-002,BF-F003,Burden hanging,high,Applied weld overlay repair,45.8,Tech-857
2024-06-06T22:27:00,RM-001,RM-F006,AGC calibration drift,low,Applied weld overlay repair,27.5,Tech-559
2024-06-07T02:30:00,BOF-001,BOF-F004,Slopping event,medium,Applied weld overlay repair,69.8,Tech-446
2024-06-07T07:55:00,RM-003,RM-F005,Motor insulation degradation,high,Adjusted operating parameters,70.3,Tech-930
2024-06-07T21:30:00,CC-002,CC-F002,Mold sticking detected,high,Cleaned and flushed system,61.1,Tech-458
2024-06-08T03:10:00,LF-001,LF-F001,Electrode breakage,high,Conducted hot repair of refractory,33.8,Tech-516
2024-06-10T01:32:00,CC-002,CC-F005,Tundish nozzle erosion,medium,Performed emergency repair,61.4,Tech-170
2024-06-10T21:19:00,BF-002,BF-F001,Tuyere burnout,critical,Realigned coupling assembly,50.3,Tech-141
2024-06-12T21:27:00,BF-002,BF-F002,Cooling water leak,high,Tightened connections and re-sealed,5.0,Tech-490
2024-06-13T10:26:00,LF-002,LF-F001,Electrode breakage,high,Realigned coupling assembly,35.9,Tech-778
2024-06-16T09:06:00,BF-002,BF-F007,Dust catcher overflow,low,Tightened connections and re-sealed,2.3,Tech-419
2024-06-17T14:22:00,BF-001,BF-F005,Gas leak at top seal,medium,Realigned coupling assembly,15.7,Tech-866
2024-06-19T15:18:00,LF-002,LF-F002,Ladle refractory failure,critical,Adjusted operating parameters,13.9,Tech-962
2024-06-20T02:36:00,CC-001,CC-F004,Roll misalignment,medium,Replaced damaged component,57.4,Tech-325
2024-06-21T23:50:00,CC-001,CC-F004,Roll misalignment,medium,Replaced bearing assembly,12.6,Tech-837
2024-06-24T17:46:00,LF-002,LF-F001,Electrode breakage,high,Cleaned and flushed system,12.2,Tech-488
2024-06-27T08:03:00,RM-002,RM-F001,Main motor bearing failure,critical,Adjusted operating parameters,53.5,Tech-638
2024-06-27T11:32:00,BOF-001,BOF-F006,Hood duct damage,low,Cleaned and flushed system,9.2,Tech-305
2024-06-27T17:10:00,BOF-002,BOF-F005,Tap hole blockage,medium,Replaced bearing assembly,40.5,Tech-573
2024-06-27T19:36:00,LF-002,LF-F004,Roof water leak,critical,Applied temporary fix; permanent repair scheduled,29.5,Tech-953
2024-06-28T03:00:00,RM-001,RM-F006,AGC calibration drift,low,Realigned coupling assembly,10.3,Tech-111
2024-06-29T01:53:00,BOF-001,BOF-F004,Slopping event,medium,Recalibrated sensors,56.8,Tech-290
2024-06-30T12:20:00,CC-001,CC-F003,SEN clogging,high,Applied temporary fix; permanent repair scheduled,53.0,Tech-748
2024-07-02T10:01:00,LF-002,LF-F001,Electrode breakage,high,Cleaned and flushed system,42.5,Tech-870
2024-07-03T05:11:00,CC-002,CC-F004,Roll misalignment,medium,Performed emergency repair,44.1,Tech-491
2024-07-03T06:21:00,RM-002,RM-F003,Roll surface spalling,high,Applied weld overlay repair,35.3,Tech-331
2024-07-05T04:27:00,CC-002,CC-F006,Spray nozzle blockage,low,Replaced cooling element,65.6,Tech-156
2024-07-07T05:40:00,BOF-002,BOF-F004,Slopping event,medium,Replaced filter cartridge,31.4,Tech-129
2024-07-07T17:41:00,CC-002,CC-F004,Roll misalignment,medium,Replaced damaged component,38.0,Tech-959
2024-07-08T06:13:00,BF-002,BF-F006,Charging system malfunction,medium,Realigned coupling assembly,35.1,Tech-841
2024-07-11T10:38:00,BF-001,BF-F004,Hearth erosion detected,critical,Conducted hot repair of refractory,36.3,Tech-163
2024-07-12T22:15:00,CC-001,CC-F003,SEN clogging,high,Tightened connections and re-sealed,27.9,Tech-976
2024-07-12T23:48:00,BOF-001,BOF-F003,Trunnion bearing overheating,high,Performed emergency repair,2.8,Tech-776
2024-07-13T03:06:00,CC-001,CC-F004,Roll misalignment,medium,Replaced filter cartridge,31.3,Tech-533
2024-07-14T01:17:00,RM-002,RM-F001,Main motor bearing failure,critical,Recalibrated sensors,48.7,Tech-717
2024-07-18T22:44:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Recalibrated sensors,35.8,Tech-349
2024-07-19T14:06:00,LF-002,LF-F004,Roof water leak,critical,Adjusted operating parameters,22.3,Tech-505
2024-07-20T11:27:00,BF-001,BF-F005,Gas leak at top seal,medium,Performed emergency repair,68.3,Tech-438
2024-07-20T14:07:00,RM-002,RM-F003,Roll surface spalling,high,Applied temporary fix; permanent repair scheduled,48.5,Tech-601
2024-07-23T09:20:00,CC-001,CC-F004,Roll misalignment,medium,Applied temporary fix; permanent repair scheduled,46.7,Tech-887
2024-07-23T18:34:00,RM-002,RM-F001,Main motor bearing failure,critical,Adjusted operating parameters,49.2,Tech-663
2024-07-24T04:50:00,RM-003,RM-F002,Gear coupling misalignment,high,Replaced cooling element,63.2,Tech-474
2024-07-29T16:15:00,RM-001,RM-F001,Main motor bearing failure,critical,Recalibrated sensors,35.7,Tech-161
2024-08-03T18:26:00,LF-001,LF-F003,Porous plug blockage,medium,Tightened connections and re-sealed,46.2,Tech-609
2024-08-03T22:21:00,RM-001,RM-F003,Roll surface spalling,high,Cleaned and flushed system,49.7,Tech-973
2024-08-05T20:40:00,CC-001,CC-F001,Breakout event,critical,Tightened connections and re-sealed,69.9,Tech-151
2024-08-06T16:16:00,BF-002,BF-F001,Tuyere burnout,critical,Adjusted operating parameters,67.2,Tech-170
2024-08-08T13:28:00,CC-002,CC-F006,Spray nozzle blockage,low,Cleaned and flushed system,30.1,Tech-947
2024-08-08T18:22:00,CC-001,CC-F002,Mold sticking detected,high,Replaced damaged component,4.1,Tech-606
2024-08-09T07:21:00,BOF-002,BOF-F005,Tap hole blockage,medium,Applied weld overlay repair,11.1,Tech-710
2024-08-11T07:43:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Applied weld overlay repair,43.1,Tech-906
2024-08-12T21:20:00,RM-001,RM-F006,AGC calibration drift,low,Applied weld overlay repair,56.0,Tech-334
2024-08-13T00:04:00,BOF-002,BOF-F005,Tap hole blockage,medium,Realigned coupling assembly,45.6,Tech-334
2024-08-13T15:14:00,RM-003,RM-F005,Motor insulation degradation,high,Applied temporary fix; permanent repair scheduled,31.7,Tech-129
2024-08-14T12:44:00,BF-002,BF-F003,Burden hanging,high,Cleaned and flushed system,22.4,Tech-695
2024-08-14T14:23:00,CC-002,CC-F005,Tundish nozzle erosion,medium,Recalibrated sensors,33.6,Tech-795
2024-08-14T20:04:00,RM-002,RM-F005,Motor insulation degradation,high,Replaced filter cartridge,59.4,Tech-817
2024-08-14T23:09:00,BF-001,BF-F005,Gas leak at top seal,medium,Replaced damaged component,19.1,Tech-698
2024-08-18T09:49:00,CC-002,CC-F003,SEN clogging,high,Applied temporary fix; permanent repair scheduled,50.9,Tech-806
2024-08-18T20:09:00,RM-003,RM-F001,Main motor bearing failure,critical,Applied temporary fix; permanent repair scheduled,59.6,Tech-173
2024-08-19T16:43:00,BOF-001,BOF-F005,Tap hole blockage,medium,Conducted hot repair of refractory,1.2,Tech-812
2024-08-19T20:14:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Replaced damaged component,7.7,Tech-438
2024-08-20T23:05:00,LF-002,LF-F003,Porous plug blockage,medium,Recalibrated sensors,70.5,Tech-878
2024-08-21T09:05:00,BF-002,BF-F001,Tuyere burnout,critical,Cleaned and flushed system,62.5,Tech-489
2024-08-21T23:03:00,LF-001,LF-F005,Hydraulic roof lift failure,medium,Tightened connections and re-sealed,34.9,Tech-636
2024-08-21T23:32:00,LF-002,LF-F001,Electrode breakage,high,Replaced damaged component,3.6,Tech-983
2024-08-25T17:47:00,BF-002,BF-F006,Charging system malfunction,medium,Realigned coupling assembly,61.3,Tech-138
2024-08-28T12:07:00,LF-001,LF-F001,Electrode breakage,high,Tightened connections and re-sealed,18.1,Tech-708
2024-08-28T21:19:00,BF-002,BF-F007,Dust catcher overflow,low,Cleaned and flushed system,58.2,Tech-250
2024-09-03T23:42:00,BF-002,BF-F003,Burden hanging,high,Replaced filter cartridge,7.9,Tech-695
2024-09-04T14:07:00,BF-002,BF-F003,Burden hanging,high,Applied temporary fix; permanent repair scheduled,32.6,Tech-244
2024-09-04T22:09:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Applied temporary fix; permanent repair scheduled,31.2,Tech-729
2024-09-05T10:24:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Applied temporary fix; permanent repair scheduled,58.9,Tech-502
2024-09-05T18:33:00,BF-002,BF-F006,Charging system malfunction,medium,Adjusted operating parameters,49.5,Tech-273
2024-09-07T15:39:00,BF-001,BF-F001,Tuyere burnout,critical,Applied weld overlay repair,5.7,Tech-524
2024-09-08T04:00:00,CC-001,CC-F002,Mold sticking detected,high,Recalibrated sensors,2.2,Tech-654
2024-09-10T07:04:00,CC-001,CC-F001,Breakout event,critical,Replaced bearing assembly,2.0,Tech-667
2024-09-10T09:55:00,BF-002,BF-F006,Charging system malfunction,medium,Replaced damaged component,32.7,Tech-456
2024-09-10T20:17:00,CC-001,CC-F003,SEN clogging,high,Applied weld overlay repair,56.1,Tech-596
2024-09-11T17:38:00,LF-002,LF-F001,Electrode breakage,high,Tightened connections and re-sealed,52.1,Tech-391
2024-09-12T03:29:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Performed emergency repair,58.0,Tech-243
2024-09-12T21:06:00,RM-002,RM-F002,Gear coupling misalignment,high,Replaced bearing assembly,56.3,Tech-995
2024-09-13T21:48:00,BOF-002,BOF-F005,Tap hole blockage,medium,Realigned coupling assembly,55.4,Tech-797
2024-09-18T06:21:00,RM-003,RM-F002,Gear coupling misalignment,high,Replaced filter cartridge,6.2,Tech-560
2024-09-19T11:10:00,BOF-002,BOF-F004,Slopping event,medium,Tightened connections and re-sealed,43.9,Tech-865
2024-09-21T10:17:00,RM-002,RM-F007,Coolant nozzle blockage,low,Tightened connections and re-sealed,50.6,Tech-382
2024-09-22T02:01:00,LF-002,LF-F001,Electrode breakage,high,Performed emergency repair,14.6,Tech-761
